timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
22944030,0,307872066,1038586442,565984,525705,357621800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,0.0,-0.01,-1.5707965,-22944030,6,1,17
23152912,0,307872066,1038586442,565986,525707,357622000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.0,0.0,0.0,-1.5707965,-23152912,6,1,17
23340865,0,307872066,1038586442,565985,525706,357622200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,-0.01,-1.5707965,-23340865,6,1,17
23551127,0,307872066,1038586442,565986,525707,357622400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.01,0.01,-0.03,-1.5707965,-23551127,6,1,17
23738967,0,307872065,1038586443,565983,525704,357622600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.03,0.0,0.0,-0.03,-1.5707965,-23738967,6,1,17
23948864,0,307872066,1038586442,565981,525703,357622800,0,0,0.0,0.0,0.009000001,0.009000001,0.79999995,1.89,0,0,0.02,0.0,0.0,0.02,-1.5707965,-23948864,6,1,17
24137920,0,307872066,1038586442,565982,525704,357623000,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.9,0,0,0.01,0.0,0.0,-0.01,-1.5707965,-24137920,6,1,17
24347063,0,307872066,1038586443,565982,525703,357623200,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.9,0,0,0.04,0.02,0.0,-0.04,-1.5707965,-24347063,6,1,17
24556910,0,307872066,1038586442,565980,525701,357623400,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.9,0,0,0.11,0.02,0.0,0.11,-1.5707965,-24556910,6,1,17
24745864,0,307872066,1038586442,565982,525703,357623600,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.9,0,0,0.04,0.0,-0.01,0.03,-1.5707965,-24745864,6,1,17
